brand_id;brand_name;count
2526;Корпуси повітряного фільтра;2721
2537;Бачки та кришки омивачів;2720
3432;Прокат інструментів;2710
3831;Запчастини для холодильників;2704
3488;Послуги садівника, догляд за територією;2701
2322;Колготки;2693
2896;Комбінезони з шортами;2692
2324;Бюстгалтери з Push up;2687
3737;Samsung;2674
855;Масаж;2666
1107;Toyota;2652
3382;Жилети розвантажувальні;2652
828;Електромонтажні послуги;2651
3210;Дорожні сумки;2636
497;Духові інструменти;2635
3011;Косметика для тіла;2632
2751;Джинсові шорти;2630
381;Витяжки;2629
2380;Заднє скло;2623
1496;Інша техніка;2614
84;Інше;2569
136;Часткова зайнятість;2568
3195;Спортивні сумки;2559
3659;Залізниці та потяги;2537
2451;Прокладки та комплекти прокладок;2535
2519;Сайлентблоки;2533
3225;Медичний одяг;2529
2199;Інші компоненти;2527
3274;Гарнітури;2517
3808;Аксесуари та запчастини для смарт-годинників;2517
3664;Дитячі кухні;2505
3679;Продаж торгових приміщень;2494
2387;Датчики температури палива, оливи та інші;2486
3697;Оренда салонів, кабінетів краси;2464
490;Електрогітари;2451
3693;Оренда складів, ангарів;2450
1982;Комбайн;2429
2027;Освітлення та лампи;2404
3184;Обручі;2398
643;Вентиляція;2390
2428;Лонжерони, підрамники;2379
3559;Обладнання для ресторанів і кафе;2368
2179;Автомобільний органайзер;2365
3734;Lenovo;2365
107;Меблі на замовлення;2363
2698;Сандалі;2363
2353;Свічки ручної роботи;2350
3586;Бізіборди та куби;2346
2508;Інші запчастини паливної системи;2338
2572;Моторні мастила;2329
2565;Повітряні фільтри;2324
3017;Медичне приладдя;2320
297;Навантажувачі;2319
829;Готові конструкції;2308
2515;Проставки для збільшення кліренсу;2294
2411;Ремені безпеки та натягувач;2282
3294;Палатки;2281
3400;Тепловізори;2273
3489;Інші побутові послуги;2260
2282;Volkswagen;2258
983;Chevrolet;2255
3710;Будинки подобово, погодинно;2245
1500;Екшн-камери;2226
3151;Ремінці та браслети для годинника;2223
1962;Інше;2217
2344;Подарунки на Новий рік;2217
2587;Весільні аксесуари для нареченої;2208
3650;Пістолети;2200
2561;Реле;2195
2452;Ролики та натягувачі;2188
2961;Костюми з шортами;2178
1037;Kia;2177
1958;Для дітей;2174
1959;Одяг та взуття;2174
2718;Лофери;2160
293;Бульдозери / трактори;2158
3669;Інший іграшковий транспорт;2158
183;Клінінг / Домашній персонал;2148
2497;Гальмівні циліндри;2148
3654;Бластери;2144
852;Манікюр, педикюр, нарощування;2139
3804;Інша дрібна побутова техніка;2129
1053;Mazda;2124
2040;Електрика;2124
2397;Інші компоненти ГБО;2123
1954;Інше;2116
825;Монтаж вікон, дверей, балконів;2110
2484;Кермові механізми;2107
1879;Кухар;2080
3777;Підставки / стійки;2076
2090;Карбюратори;2074
2950;Куртки-сорочки;2071
3747;Дисплеї / екрани;2071
3006;Інше;2055
3794;Фритюрниці / аерогрилі;2055
1755;Продаж кімнат;2051
3231;Робочі штани;2050
3561;Медичне обладнання;2044
3357;Підсумки;2041
3832;Аксесуари та запчастини для пилососів;2037
3150;Аксесуари для взуття;1999
2109;Мото диски та колеса;1996
253;Водний транспорт;1995
3587;Ігрові центри;1979
